TIME,SOIL
2020-01-19 10:28:13.760238,5.1
2020-01-19 10:28:14.286705,4.6
2020-01-19 10:28:14.716506,4.1
2020-01-19 10:28:15.280239,3.7
2020-01-19 10:28:15.785455,3.4
2020-01-19 10:28:16.236753,3.0
2020-01-19 10:28:16.760268,2.7
2020-01-19 10:28:17.249147,2.4
2020-01-19 10:28:17.754093,2.2
2020-01-19 10:28:18.317983,2.0
2020-01-19 10:28:18.747857,1.8
2020-01-19 10:28:19.349197,1.6
2020-01-19 10:28:19.741656,1.4
2020-01-19 10:28:20.268065,1.3
2020-01-19 10:28:20.754052,1.2
2020-01-19 10:28:21.280287,1.1
2020-01-19 10:28:21.766633,0.9
2020-01-19 10:28:22.761616,0.8
2020-01-19 10:28:23.247884,0.7
2020-01-19 10:28:23.849221,0.6
2020-01-19 10:28:24.824149,0.5
2020-01-19 10:28:25.743068,0.4
2020-01-19 10:28:26.755656,0.3
2020-01-19 10:28:28.255721,0.2
2020-01-19 10:28:30.843171,0.1
2020-01-19 10:28:35.849475,0.0
2020-01-19 10:28:36.279225,42.7
2020-01-19 10:28:36.768141,43.0
2020-01-19 10:28:37.291874,43.4
2020-01-19 10:28:37.818283,43.8
2020-01-19 10:28:38.266923,44.2
2020-01-19 10:28:38.793245,44.6
2020-01-19 10:28:39.279270,44.9
2020-01-19 10:28:40.255921,43.8
2020-01-19 10:28:40.798164,42.2
2020-01-19 10:28:41.324594,40.5
2020-01-19 10:28:41.791924,0.0
2020-01-19 10:28:45.299628,34.5
2020-01-19 10:28:45.786309,35.0
2020-01-19 10:28:46.368336,35.2
2020-01-19 10:28:46.779404,35.3
2020-01-19 10:28:50.399662,35.2
2020-01-19 10:28:50.773345,35.1
2020-01-19 10:28:51.356091,0.0
2020-01-19 10:29:14.343899,39.5
2020-01-19 10:29:14.905629,40.3
2020-01-19 10:29:15.319852,41.1
2020-01-19 10:29:15.899357,41.8
2020-01-19 10:29:16.426350,42.0
2020-01-19 10:29:16.948719,42.1
2020-01-19 10:29:17.925356,41.2
2020-01-19 10:29:18.448748,40.2
2020-01-19 10:29:18.900183,39.1
2020-01-19 10:29:19.423794,36.6
2020-01-19 10:29:19.950139,5.3
2020-01-19 10:29:20.361191,4.7
2020-01-19 10:29:20.849385,4.3
2020-01-19 10:29:21.336346,3.8
2020-01-19 10:29:21.843866,3.5
2020-01-19 10:29:22.367546,3.1
2020-01-19 10:29:22.875427,2.8
2020-01-19 10:29:23.455070,2.5
2020-01-19 10:29:23.850212,2.3
2020-01-19 10:29:24.373821,2.0
2020-01-19 10:29:24.900255,1.8
2020-01-19 10:29:25.348825,1.7
2020-01-19 10:29:25.837830,1.5
2020-01-19 10:29:26.361221,1.3
2020-01-19 10:29:26.887792,1.2
2020-01-19 10:29:27.411244,1.1
2020-01-19 10:29:27.843958,1.0
2020-01-19 10:29:28.461287,0.9
2020-01-19 10:29:28.856653,0.8
2020-01-19 10:29:29.380199,0.7
2020-01-19 10:29:29.887893,0.6
2020-01-19 10:29:30.862664,0.5
2020-01-19 10:29:31.969088,0.4
2020-01-19 10:29:32.849752,0.3
2020-01-19 10:29:34.402419,0.2
2020-01-19 10:29:36.881844,0.1
2020-01-19 10:29:42.375690,0.0
2020-01-19 10:36:32.083130,1.3
